Human gene name,Gene name
MT-CYB,mt-Cytb
MT-ND6,mt-Nd6
MT-ND5,mt-Nd5
MT-ND4,mt-Nd4
MT-ND4L,mt-Nd4l
MT-ND3,mt-Nd3
MT-CO3,mt-Co3
MT-ATP6,mt-Atp6
MT-ATP8,mt-Atp8
MT-CO2,mt-Co2
MT-CO1,mt-Co1
MT-ND2,mt-Nd2
MT-ND1,mt-Nd1
ARRB2,Arrb2
USP22,Usp22
ODF2L,Odf2l
WSB2,Wsb2
ORAI3,Orai3
MPEG1,Mpeg1
TM9SF3,Tm9sf3
IVD,Ivd
WDR81,Wdr81
ALAS1,Alas1
CYP2D7,Cyp2d11
CYP2D6,Cyp2d11
C12orf45,D10Wsu102e
ARHGAP10,Arhgap10
ALDH1L2,Aldh1l2
ACSS1,Acss1
TACC1,Tacc1
SRP68,Srp68
TATDN3,Tatdn3
KIF9,Kif9
WFDC11,Wfdc11
RFC5,Rfc5
WFDC13,Wfdc13
ATP11A,Atp11a
SEMA6B,Sema6b
SPINT4,Spint4
HSD3B7,Hsd3b7
PGM2L1,Pgm2l1
VIPR1,Vipr1
NEXN,Nexn
WFDC3,Wfdc3
RASAL3,Rasal3
AC008012.1,Ccnd2
CCND2,Ccnd2
DNAJC11,Dnajc11
E2F4,E2f4
IGHE,Ighe
BAHD1,Bahd1
GSG1L,Gsg1l
GALR2,Galr2
MBLAC1,Mblac1
PHF10,Phf10
DQX1,Dqx1
CHML,Chml
SLC27A4,Slc27a4
DDX47,Ddx47
GALNT6,Galnt6
OPN3,Opn3
LGR4,Lgr4
CERK,Cerk
TLCD2,Tlcd2
ADIPOR1,Adipor1
ACSL1,Acsl1
VSX1,Vsx1
OR8K3,Olfr1066
INS,Ins2
C6orf120,1600012H06Rik
KNG1,Kng2
P4HA3,P4ha3
OR8K3,Olfr228
GDPD5,Gdpd5
IFI44,Ifi44
TAF1C,Taf1c
WDR64,Wdr64
GAPT,Gapt
OR8K3,Olfr1076
DNTTIP1,Dnttip1
CHST14,Chst14
IL17RA,Il17ra
DNAH10,Dnah10
CACNB3,Cacnb3
TNFAIP8L1,Tnfaip8l1
DTX4,Dtx4
CCDC32,Ccdc32
KCNH5,Kcnh5
PC,Pcx
DNAAF1,Dnaaf1
LMAN2,Lman2
LRP10,Lrp10
PPP2R3A,Ppp2r3a
GTF2H1,Gtf2h1
ZFP1,Zfp1
PIGP,Pigp
EXOC7,Exoc7
FOXL2,Foxl2
ENTPD6,Entpd6
PGLYRP2,Pglyrp2
TBC1D22A,Tbc1d22a
MPC2,Mpc2
COQ7,Coq7
ALK,Alk
NFATC2,Nfatc2
C17orf78,Gm11437
TFB1M,Tfb1m
FAM111A,Fam111a
NAGK,Nagk
ACACA,Acaca
BPIFB6,Bpifb6
POU2F2,Pou2f2
KLHL35,Klhl35
TCF7L2,Tcf7l2
TIAM2,Tiam2
CAPN11,Capn11
TJP1,Tjp1
ANKRD13A,Ankrd13a
C2CD3,C2cd3
TH,Th
SLC1A3,Slc1a3
TLCD1,Tlcd1
UBE2C,Ube2c
RPS3,Rps3
ALOX12B,Alox12b
GOLGA4,Golga4
HIF3A,Hif3a
TAS1R3,Tas1r3
PHF5A,Phf5a
SLC45A4,Slc45a4
DVL1,Dvl1
CLEC2D,Clec2h
CA4,Car4
BDH2,Bdh2
UBE3A,Ube3a
AL359922.1,Mtap
NSUN5,Nsun5
TNNC2,Tnnc2
BPIFB3,Bpifb3
AC004551.1,Oas1f
MRPS12,Mrps12
KANSL1,Kansl1
VPS35,Vps35
TOR1AIP2,Tor1aip2
SIGLEC1,Siglec1
ALDH4A1,Aldh4a1
EAF1,Eaf1
CLMP,Clmp
CYP27B1,Cyp27b1
TLX2,Tlx2
WASF2,Wasf2
TGM1,Tgm1
ADAD2,Adad2
RPL23A,Rpl23a
METTL6,Mettl6
TAS1R2,Tas1r2
GIT2,Git2
POM121,Pom121
POM121C,Pom121
CYP2D7,Cyp2d26
CYP2D6,Cyp2d26
ALDH3A1,Aldh3a1
SEL1L3,Sel1l3
IFFO2,Gm21969
IGFBP3,Igfbp3
PKP1,Pkp1
FAM184A,Fam184a
ASCL2,Ascl2
IFFO2,Iffo2
WDR26,Wdr26
EXO1,Exo1
XPO6,Xpo6
DENND4A,Dennd4a
TMC7,Tmc7
TOR1AIP1,Tor1aip1
LRFN4,Lrfn4
UPP2,Upp2
SLC12A3,Slc12a3
FAM110D,Grrp1
TULP1,Tulp1
NSL1,Nsl1
NAGLU,Naglu
PBK,Pbk
ORC6,Orc6
C9orf50,1700001O22Rik
PRSS35,Prss35
PIK3AP1,Pik3ap1
FNDC5,Fndc5
TSPAN32,Tspan32
DPP9,Dpp9
BATF3,Batf3
YPEL5,Ypel5
PLK2,Plk2
CLDN20,Cldn20
MKI67,Mki67
DVL2,Dvl2
OLFM1,Olfm1
HOOK1,Hook1
PPME1,Ppme1
ARRB1,Arrb1
MIA-RAB4B,Gm21983
MIA,Gm21983
UBAC1,Ubac1
CYP2D7,Cyp2d10
CYP2D6,Cyp2d10
COL16A1,Col16a1
MIA-RAB4B,Mia
MIA,Mia
PYGB,Pygb
AC011455.2,Sars2
SARS2,Sars2
KCNG4,Kcng4
ZMYM5,Zmym5
RAB4B,Rab4b
RAB4B-EGLN2,Rab4b
BPIFB4,Bpifb4
COPS8,Cops8
TCF20,Tcf20
HSD17B1,Hsd17b1
ELMO3,Elmo3
CDKN2B,Cdkn2b
MAF1,Maf1
SMIM20,Smim20
UCP3,Ucp3
C12orf71,1700034J05Rik
RPUSD2,Rpusd2
CTRB1,Ctrb1
CTRB2,Ctrb1
FAM71A,Fam71a
REM2,Rem2
RPP21,Rpp21
